tweet_id,text,translated,combined,predicted_label
2023_test_main_tweet_1,"વધારે પડતાં લાગણીશીલ ન બનતા 
આજના જમાના માં લાગણીશીલ વ્યક્તિ ને મૂર્ખ ગણવામાં આવે છે ..!!💯
#સત્યહકિકત","Not overly emotional
In today's time the emotional person is considered as stupid .. !!
#Truthful","વધારે પડતાં લાગણીશીલ ન બનતા 
આજના જમાના માં લાગણીશીલ વ્યક્તિ ને મૂર્ખ ગણવામાં આવે છે ..!!💯
#સત્યહકિકત Not overly emotional
In today's time the emotional person is considered as stupid .. !!
#Truthful",NOT
2023_test_main_tweet_2,@AUTHOR બસ કર બે ટોપા..,@Author Bus Tax Two Top ..,@AUTHOR બસ કર બે ટોપા.. @Author Bus Tax Two Top ..,HOF
2023_test_main_tweet_3,@AUTHOR @USER @USER બાયડી નો ભાઇ આયવો ભડવો 🤣😂,@AUTHOR @user @user Bidi's brother Avo,@AUTHOR @USER @USER બાયડી નો ભાઇ આયવો ભડવો 🤣😂 @AUTHOR @user @user Bidi's brother Avo,HOF
2023_test_main_tweet_4,@AUTHOR ગુજરાત પોલીસ ઈસ તરહ બેવજહ મુસલમાન કો પીટકર આખીર ક્યા મેસેજ દેના ચાહતી હે? રક્ષક હી ખુદ ભક્ષક હોગા તો ડર હે કી કહી મુસલમાન મજબુર હોકર આત્મરક્ષા મે અગર પોલીસ પર હાથ ઉઠાને લગ ગયે તો ફીર ચીલ્લાતે ફિરેંગે આતંકવાદી આતંકવાદી 🤷‍♂️ ગોદી ઔર દલાલ મીડિયા કયું ખામોશ હે ઈસ બારે મે?,"@Author Gujarat Police Is Tarah Bigaha Muslim Ko Pitkar Kya Message Deena Want?If the guard is a devotee, then the Muslim forced the Ki Ki Ki Khur Hawker Self -Defense May Agar, if Fir Chilat Fireng Fireng terrorist, a dock and broker media, which is me?","@AUTHOR ગુજરાત પોલીસ ઈસ તરહ બેવજહ મુસલમાન કો પીટકર આખીર ક્યા મેસેજ દેના ચાહતી હે? રક્ષક હી ખુદ ભક્ષક હોગા તો ડર હે કી કહી મુસલમાન મજબુર હોકર આત્મરક્ષા મે અગર પોલીસ પર હાથ ઉઠાને લગ ગયે તો ફીર ચીલ્લાતે ફિરેંગે આતંકવાદી આતંકવાદી 🤷‍♂️ ગોદી ઔર દલાલ મીડિયા કયું ખામોશ હે ઈસ બારે મે? @Author Gujarat Police Is Tarah Bigaha Muslim Ko Pitkar Kya Message Deena Want?If the guard is a devotee, then the Muslim forced the Ki Ki Ki Khur Hawker Self -Defense May Agar, if Fir Chilat Fireng Fireng terrorist, a dock and broker media, which is me?",NOT
2023_test_main_tweet_5,"@AUTHOR ગુજરાત માં ભરૂચ જિલ્લામાં આવેલો જંબુસર તાલુકામાં
નગરપાલિકા ના કર્મચારીઓ કામ ચોર છે ગ્રાન્ડ પાસ થાય છે વર્ષો થી પણ કામકાજ નંથી થતાં રૂપિયા ક્યાં જાય છે ઈકવાઈરી બેસાળો નગરપાલિકા ના કર્મચારીઓ ઉપર ઘણી સંપત્તિ છે","@Author in Jambusar taluka in Bharuch district in Gujarat
Municipal employees are working thief.","@AUTHOR ગુજરાત માં ભરૂચ જિલ્લામાં આવેલો જંબુસર તાલુકામાં
નગરપાલિકા ના કર્મચારીઓ કામ ચોર છે ગ્રાન્ડ પાસ થાય છે વર્ષો થી પણ કામકાજ નંથી થતાં રૂપિયા ક્યાં જાય છે ઈકવાઈરી બેસાળો નગરપાલિકા ના કર્મચારીઓ ઉપર ઘણી સંપત્તિ છે @Author in Jambusar taluka in Bharuch district in Gujarat
Municipal employees are working thief.",HOF
2023_test_main_tweet_6,"@AUTHOR ગુજરાત માં ભરૂચ જિલ્લામાં આવેલો જંબુસર તાલુકામાં
નગરપાલિકા ના કર્મચારીઓ કામ ચોર છે ગ્રાન્ડ પાસ થાય છે વર્ષો થી કોઈ પણ કામકાજ નંથી થતાં રૂપિયા ક્યાં જાય છે ઈકવાઈરી બેસાળો નગરપાલિકા ના કર્મચારીઓ ઉપર","@Author in Jambusar taluka in Bharuch district in Gujarat
Municipal employees are working thief.","@AUTHOR ગુજરાત માં ભરૂચ જિલ્લામાં આવેલો જંબુસર તાલુકામાં
નગરપાલિકા ના કર્મચારીઓ કામ ચોર છે ગ્રાન્ડ પાસ થાય છે વર્ષો થી કોઈ પણ કામકાજ નંથી થતાં રૂપિયા ક્યાં જાય છે ઈકવાઈરી બેસાળો નગરપાલિકા ના કર્મચારીઓ ઉપર @Author in Jambusar taluka in Bharuch district in Gujarat
Municipal employees are working thief.",HOF
2023_test_main_tweet_7,@AUTHOR @USER @USER @USER તું પાક્કો મુલ્લા નો કાઢેલો છો આજે સાબિત થઈ ગયું કારણ કે તારી બુદ્ધિ લંડે છે અને લંડ ઉપર લીલી ફાંગs લાગી ગઈ છે. તારી માં ને મુલ્લા નો આખો ગળા સુધી લેવાનો બોવ ગમે છે અમને ખબર છે માદર ચોદ,"@AUTHOR @user @user @user You are a firm mullah, proved today because your intelligence is in Lund and the green is filled with Lund.We like to take the whole throat of Mullah in you. We know Madar Chod","@AUTHOR @USER @USER @USER તું પાક્કો મુલ્લા નો કાઢેલો છો આજે સાબિત થઈ ગયું કારણ કે તારી બુદ્ધિ લંડે છે અને લંડ ઉપર લીલી ફાંગs લાગી ગઈ છે. તારી માં ને મુલ્લા નો આખો ગળા સુધી લેવાનો બોવ ગમે છે અમને ખબર છે માદર ચોદ @AUTHOR @user @user @user You are a firm mullah, proved today because your intelligence is in Lund and the green is filled with Lund.We like to take the whole throat of Mullah in you. We know Madar Chod",HOF
2023_test_main_tweet_8,"@AUTHOR આ બધા તો આવા જ જોય છે
સામે લોકો પણ મૂર્ખ છે","@Author all of these are similar
People in front are stupid too","@AUTHOR આ બધા તો આવા જ જોય છે
સામે લોકો પણ મૂર્ખ છે @Author all of these are similar
People in front are stupid too",HOF
2023_test_main_tweet_9,@AUTHOR તમે આવા મૂર્ખ છો. મોદીજીને નફરત કરતી વખતે તમે લોકો તેમની સાથે જોડાયેલી દરેક વસ્તુનો વિરોધ કરવા માંડો છો.,"@Author you are such a stupid.When you hate Modi, you people start to oppose everything connected with them.","@AUTHOR તમે આવા મૂર્ખ છો. મોદીજીને નફરત કરતી વખતે તમે લોકો તેમની સાથે જોડાયેલી દરેક વસ્તુનો વિરોધ કરવા માંડો છો. @Author you are such a stupid.When you hate Modi, you people start to oppose everything connected with them.",NOT
2023_test_main_tweet_10,@AUTHOR @USER @USER @USER @USER @USER @USER @USER મગજ ખરાબ ના કરું પણ નવરી બજાર હોઉ ત્યારે જ્યા ત્યા કોક ના ટ્વિટ માં જાલવા જઉ એમ લખ.,"@AUTHOR @user @user @user @user @user @user @user @user don't make the brain bad but when there is a Navari Bazaar, write that you go to Coke's tweet.","@AUTHOR @USER @USER @USER @USER @USER @USER @USER મગજ ખરાબ ના કરું પણ નવરી બજાર હોઉ ત્યારે જ્યા ત્યા કોક ના ટ્વિટ માં જાલવા જઉ એમ લખ. @AUTHOR @user @user @user @user @user @user @user @user don't make the brain bad but when there is a Navari Bazaar, write that you go to Coke's tweet.",NOT
