post_id,text,translated,combined,predicted_label
task1a_test_1,ඔව් ඔව්.. තොපි ආදරේට කලොත් කරන්නෙ ඔහොම වැඩක් තමයි...,"Yeah yeah, you're going to love love ...","ඔව් ඔව්.. තොපි ආදරේට කලොත් කරන්නෙ ඔහොම වැඩක් තමයි... Yeah yeah, you're going to love love ...",NOT
task1a_test_2,ඇයි උඹ අලි පු*න්ද? #SriLankanThreats,Why are you an elephant?#Srilankanththths,ඇයි උඹ අලි පු*න්ද? #SriLankanThreats Why are you an elephant?#Srilankanththths,HOF
task1a_test_3,@USER  @USER පක ටෝක් දෙන්න එපා,Don't give @ser @user luck Talk,@USER  @USER පක ටෝක් දෙන්න එපා Don't give @ser @user luck Talk,HOF
task1a_test_4,"මම නවය වසරේදී,පංති නායකයා කාලේ පංතියේ කොස්ස නැති වුනු වෙලාවේ,කොස්ස ගෙනාව එකා රෙද්ද උස්සන් එද්දි, මං නායකකමින් ඉල්ලා අස්වුනා මතකයි!","When I lost the broom in the nine years, the collapse was the broom and the broom revealed that he resigned from her headed down!","මම නවය වසරේදී,පංති නායකයා කාලේ පංතියේ කොස්ස නැති වුනු වෙලාවේ,කොස්ස ගෙනාව එකා රෙද්ද උස්සන් එද්දි, මං නායකකමින් ඉල්ලා අස්වුනා මතකයි! When I lost the broom in the nine years, the collapse was the broom and the broom revealed that he resigned from her headed down!",NOT
task1a_test_5,මේ ආන්ඩුවටනම් හෙන 7ම ගහන්න ඔනේ මුන්ට පේන්නෙ නැද්ද යකෝ නැගෙනහිර ඉඩම්වලට වෙනදේ මට්ටයන්ටයි දෙමලුන්ටයි විතරද.? අම්මගෙ රෙද්දෙ සන්හිදියාව,"If this is the government, you want to go seven, but only the demons can be to the East Lands.?The mother's footage of the mother","මේ ආන්ඩුවටනම් හෙන 7ම ගහන්න ඔනේ මුන්ට පේන්නෙ නැද්ද යකෝ නැගෙනහිර ඉඩම්වලට වෙනදේ මට්ටයන්ටයි දෙමලුන්ටයි විතරද.? අම්මගෙ රෙද්දෙ සන්හිදියාව If this is the government, you want to go seven, but only the demons can be to the East Lands.?The mother's footage of the mother",HOF
task1a_test_6,හයි වේ එකේ විවේක ගන්න තැන අපිරිසිදු ලැට් වල හුජ්ජ කරන්න උපාධි කාරයොත් යන්න ඇති. ඒත් තෙවරක් පෙරුම වගේ පොරක්ම... URL,"Where to rest in the hue, you may have gone to do the scorn of dirty lats.But thrice like a fourth ... URL","හයි වේ එකේ විවේක ගන්න තැන අපිරිසිදු ලැට් වල හුජ්ජ කරන්න උපාධි කාරයොත් යන්න ඇති. ඒත් තෙවරක් පෙරුම වගේ පොරක්ම... URL Where to rest in the hue, you may have gone to do the scorn of dirty lats.But thrice like a fourth ... URL",HOF
task1a_test_7,"""කළු, කැත කපුටා හා ලස්සන මොණරා"" URL","""Black, ugly raven and beautiful monaries"" URL","""කළු, කැත කපුටා හා ලස්සන මොණරා"" URL ""Black, ugly raven and beautiful monaries"" URL",NOT
task1a_test_8,ඇවන්ගාර්ඩ් මෙරි ටයිම්ස් ආයතනය සිරස මුදලාලි කිලී මහරාජා සහ කිලීගේ ගෙවිම් ලැයිස්තුවේ සිටින නාකි මනමාලයා වන වරයා... URL,"The Avangard Fisitor Times, Sirasa Mudalai Kilila and Killy Killy Maharaja and Killy's repayment ... URL","ඇවන්ගාර්ඩ් මෙරි ටයිම්ස් ආයතනය සිරස මුදලාලි කිලී මහරාජා සහ කිලීගේ ගෙවිම් ලැයිස්තුවේ සිටින නාකි මනමාලයා වන වරයා... URL The Avangard Fisitor Times, Sirasa Mudalai Kilila and Killy Killy Maharaja and Killy's repayment ... URL",HOF
task1a_test_9,නොදකින්  SEEKER @USER  · 10 Nov 2019 අ.කු.දි = අනුර කුමාර දිසානායක   Dm දාලා අ.කු.දි කියන්නේ මොකක්ද කියලා අහන්න එපා බන් කළකිරෙනවා.,"Novn SEEker @ 10 Nov 2019 Talk DM DM Leave DM DM is a DM, a cup of a cup.","නොදකින්  SEEKER @USER  · 10 Nov 2019 අ.කු.දි = අනුර කුමාර දිසානායක   Dm දාලා අ.කු.දි කියන්නේ මොකක්ද කියලා අහන්න එපා බන් කළකිරෙනවා. Novn SEEker @ 10 Nov 2019 Talk DM DM Leave DM DM is a DM, a cup of a cup.",HOF
task1a_test_10,@USER බෑ ඔයා කියයි මේකිගෙ කටහඬ නාකි ආච්චි කෙනෙක් වගේ කියල,@Ser you'll claim it is a voice Naki Grandma,@USER බෑ ඔයා කියයි මේකිගෙ කටහඬ නාකි ආච්චි කෙනෙක් වගේ කියල @Ser you'll claim it is a voice Naki Grandma,NOT
